person,id
Ellen Burtner Bevilacqua,B4723
Lawrence Edgar Hummel,H5687
H. J. Corper,C5339
Edith Lincoln,L6366
Margaret Herrmann Kurbatov,K3586
Marietta Blau,B8462
Christianna Smith,S9990
Virginia Walbot,W0302
Rhoda Erdmann,E9988
Janet McCarter,M8160
Mary E. Pinney,P8580
Marie Curie,C9252
Frieda Baumann,B4868
Ute Busemann,B0683
Clara Lynch,L2685
Chinyere Wogu,W0074
Mary C. Pangborn,P9200
Linda Tombras Smith,S7586
Ruth E Gordon,G0058
Esther Breslow,B9096
Charles Doan,D6934
Agnes Pockels,P5710
Elaine Ralli,R3393
Susan R. Wessler,W2507
Karin Norlen,N4561
Agnes Saunders Riley,R1939
Dorothea Schallert Fuller,F3619
Anna E. Many,M2566
Nancy Kleckner,K6490
Lafayette B. Mendel,M8059
Mrs Denison,D3779
Caroline McGill,M8231
Lucia J. Dunham,D3926
"J. Burns Amberson, Jr.",J8533
Luis M. Gonzales,G7203
Treat B. Johnson,J5800
Franca Podo,P5933
Ida Hyde,H0426
Hilda Pope Willett,W3222
Dorothy H. Heilman,H7141
James R. Cash,C5450
Donald R. Hooker,H5918
Britton Chance,C7993
Margaret Taylor Ross,R3209
Carol Caparelli,C2841
Mary E. Mrose,M4036
Gladys Dick,D5331
Jane H. Park,P2550
"Laura Florence, PhD",P7019
